DWG Number,ASIGateway_label,Tag,Description,Signal Type 1,ASiAddress,ASIGateway_label_order,moduleConfig,moduleId
PID-121,2,20-XY-2108A,3-Way Solenoid Valve,DOASI,17B,169,"[2, 2]",17
PID-121,2,20-ZSC-2108A,Closed Detection,DIASI,17B,178,"[2, 2]",17
PID-121,2,20-ZSC/O-2108E,Closed and Open Detection,DIASI,17B,186,"[2, 2]",17
PID-121,2,20-XY-2108E,3-Way Solenoid Valve,DOASI,17B,188,"[2, 2]",17
PID-103,2,20-ZIS-0301K,Pig Sensor,DIASI,18B,130,"[4, 4]",18
PID-103,2,20-ZIS-0301J,Pig Sensor,DIASI,18B,131,"[4, 4]",18
PID-103,2,20-XY-0301P,4-Way Solenoid Valve,DOASI,18B,132,"[4, 4]",18
PID-103,2,20-ZSO-0301H,Open Detection,DIASI,18B,138,"[4, 4]",18
PID-103,2,20-ZSC-0301G,Closed Detection,DIASI,18B,145,"[4, 4]",18
PID-103,2,20-XY-0301E,3-Way Solenoid Valve,DOASI,19B,133,"[2, 2]",19
PID-103,2,20-ZSC/O-0301E,Closed and Open Detection,DIASI,19B,135,"[2, 2]",19
PID-103,2,20-ZSC-0301M,Closed Detection,DIASI,19B,137,"[2, 2]",19
PID-103,2,20-XY-0301M,3-Way Solenoid Valve,DOASI,19B,144,"[2, 2]",19
PID-103,2,20-ZSC-0301A,Closed Detection,DIASI,20B,129,"[4, 4]",20
PID-103,2,20-ZSC-0301D,Closed Detection,DIASI,20B,134,"[4, 4]",20
PID-103,2,20-XY-0301D,3-Way Solenoid Valve,DOASI,20B,136,"[4, 4]",20
PID-103,2,20-XY-0301B,3-Way Solenoid Valve,DOASI,20B,139,"[4, 4]",20
PID-103,2,20-XY-0301C,3-Way Solenoid Valve,DOASI,20B,140,"[4, 4]",20
PID-103,2,20-ZSC-0301B,Closed Detection,DIASI,20B,141,"[4, 4]",20
PID-103,2,20-XY-0301A,3-Way Solenoid Valve,DOASI,20B,142,"[4, 4]",20
PID-103,2,20-ZSC-0301C,Closed Detection,DIASI,20B,143,"[4, 4]",20
PID-111,2,?-X1FV-???,Undefined Instrument,,21B,146,"[4, 4]",21
PID-111,2,?-X1FV-???,Undefined Instrument,,21B,148,"[4, 4]",21
PID-111,2,?-X1FV-???,Undefined Instrument,,21B,149,"[4, 4]",21
PID-111,2,?-X1FV-???,Undefined Instrument,,21B,150,"[4, 4]",21
PID-111,2,?-X1FV-???,Undefined Instrument,,21B,155,"[4, 4]",21
PID-111,2,?-X1FV-???,Undefined Instrument,,21B,158,"[4, 4]",21
PID-111,2,?-X1FV-???,Undefined Instrument,,21B,162,"[4, 4]",21
PID-123,3,20-ZIS-2101K,Pig Sensor,DIASI,1A,246,"[2, 1]",0
PID-123,3,20-ZIS-2101J,Pig Sensor,DIASI,1A,257,"[2, 1]",0
PID-123,3,20-ZSC/O-2101E,Closed and Open Detection,DIASI,1B,234,"[2, 2]",1
PID-123,3,20-XY-2101F,3-Way Solenoid Valve,DOASI,1B,240,"[2, 2]",1
PID-123,3,20-XY-2101E,3-Way Solenoid Valve,DOASI,1B,247,"[2, 2]",1
PID-123,3,20-ZSC/O-2101F,Closed and Open Detection,DIASI,1B,248,"[2, 2]",1
PID-123,3,20-XY-2101D,3-Way Solenoid Valve,DOASI,2B,238,"[4, 4]",2
PID-123,3,20-ZSC-2101C,Closed Detection,DIASI,2B,239,"[4, 4]",2
PID-123,3,20-XY-2101C,3-Way Solenoid Valve,DOASI,2B,242,"[4, 4]",2
PID-123,3,20-ZSC-2101B,Closed Detection,DIASI,2B,244,"[4, 4]",2
PID-123,3,20-ZSC-2101A,Closed Detection,DIASI,2B,252,"[4, 4]",2
PID-123,3,20-XY-2101A,3-Way Solenoid Valve,DOASI,2B,253,"[4, 4]",2
PID-123,3,20-ZSC-2101D,Closed Detection,DIASI,2B,254,"[4, 4]",2
PID-123,3,20-XY-2101B,3-Way Solenoid Valve,DOASI,2B,258,"[4, 4]",2
PID-123,3,20-ZSO-2102H,Open Detection,DIASI,3B,236,"[4, 0]",3
PID-123,3,20-ZIS-2102K,Pig Sensor,DIASI,3B,243,"[4, 0]",3
PID-123,3,20-ZIS-2102J,Pig Sensor,DIASI,3B,256,"[4, 0]",3
PID-123,3,20-XY-2102P,4-Way Solenoid Valve,DOASI,4B,235,"[4, 4]",4
PID-123,3,20-XY-2102E,3-Way Solenoid Valve,DOASI,4B,237,"[4, 4]",4
